# Surface, left-id, right-id, cost, pos, pos2, pos3, pos4, conj1, conj2, base, reading, pronunciation
LINK,0,0,1000,名詞,一般,*,*,*,*,LINK,リンク,リンク
link,0,0,1000,名詞,一般,*,*,*,*,link,リンク,リンク
